epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,711.574,1.35133,3.39284,0.01008,0.82392,0.81823,0.88975,0.54259,1.34874,0.75202,0.01194,0.00999421,0.0033314,0.00999421,0.0033314,0.00999421,0.0033314,0.00999421,0.0033314
2,1226.09,1.42726,1.07412,0.0111,0.87664,0.85197,0.91739,0.56232,1.37233,0.67313,0.01258,0.0197963,0.00659876,0.0197963,0.00659876,0.0197963,0.00659876,0.0197963,0.00659876
3,1733.25,1.51273,1.03278,0.01185,0.84641,0.79288,0.86875,0.48109,1.5288,0.87773,0.0156,0.0294003,0.00980011,0.0294003,0.00980011,0.0294003,0.00980011,0.0294003,0.00980011
4,2210.86,1.54947,1.01544,0.01264,0.85756,0.83236,0.91125,0.53638,1.38458,0.73585,0.01279,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2689.11,1.55062,0.96989,0.01262,0.84763,0.83236,0.91383,0.5305,1.44476,0.71458,0.0136,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3167.33,1.52908,0.90078,0.01207,0.88883,0.87135,0.94047,0.56951,1.37377,0.57979,0.01296,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3643.58,1.51944,0.8639,0.01231,0.88154,0.86673,0.93167,0.56983,1.35338,0.63845,0.01299,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4120.68,1.46896,0.81049,0.01148,0.93548,0.87768,0.94082,0.56128,1.41838,0.60721,0.01333,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4605.65,1.47844,0.80244,0.01173,0.90652,0.88402,0.944,0.575,1.40685,0.55681,0.01342,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5080.62,1.46836,0.74702,0.01146,0.92801,0.87671,0.94984,0.59444,1.34447,0.54877,0.01248,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5560.72,1.44748,0.73872,0.0115,0.91465,0.87865,0.94714,0.58459,1.37837,0.54468,0.01284,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6036.85,1.4326,0.73707,0.01115,0.95359,0.88743,0.96057,0.60233,1.33297,0.48736,0.01231,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6516.17,1.43698,0.7222,0.01112,0.95559,0.89135,0.96511,0.61552,1.31011,0.49195,0.01209,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6992.68,1.41088,0.70709,0.01104,0.93636,0.88192,0.95796,0.60151,1.33347,0.51613,0.01225,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7472.37,1.41036,0.72019,0.01099,0.92834,0.928,0.96848,0.61918,1.33447,0.45155,0.01277,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7948.25,1.41374,0.67802,0.01093,0.94138,0.91082,0.96631,0.62345,1.2777,0.48023,0.0117,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8421.34,1.39666,0.68174,0.01057,0.94081,0.91404,0.97082,0.62625,1.29979,0.44827,0.01219,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8898.27,1.41325,0.68386,0.01096,0.95562,0.92203,0.97375,0.64495,1.26342,0.4363,0.01155,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9373.89,1.39036,0.6466,0.01064,0.95335,0.91715,0.97351,0.64235,1.25092,0.441,0.01115,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,9849.55,1.38232,0.6401,0.01071,0.95262,0.92104,0.97127,0.6393,1.2789,0.43023,0.01184,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10329.8,1.3796,0.63438,0.01055,0.94194,0.93291,0.96968,0.62352,1.29647,0.4293,0.01219,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10931.5,1.36827,0.63956,0.01046,0.95586,0.91817,0.97206,0.6432,1.25263,0.42101,0.01097,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,11521.7,1.35676,0.61628,0.01031,0.95345,0.93519,0.97754,0.65258,1.23399,0.3943,0.01085,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12128.9,1.35269,0.61515,0.01022,0.94104,0.9269,0.97211,0.64526,1.22583,0.43519,0.01073,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,12717.5,1.34727,0.60994,0.01009,0.95856,0.92349,0.97395,0.64236,1.25958,0.40815,0.01181,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13283.4,1.33971,0.61234,0.01019,0.96191,0.92307,0.97453,0.64078,1.24856,0.40382,0.01095,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,13873.4,1.33149,0.59898,0.00997,0.95818,0.93372,0.98037,0.64792,1.23846,0.40401,0.01081,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
